SQUID,UNIT,Merged_UNITs,TOPELEVATION,BOTTOMELEVATION,RAWMAT,Material Type,Distance (km),DEBITAGE,DATACLASS,PRESERVATION,PATINATION,CORTEX,LOCATION OF CORTEX,CORTEX OF PREPARATION SURFACE,BURNT,SURFACE OF  FLAKE USED FOR FLAKING,NUMBER OF ACTIVE EDGES CORES,NUMBER OF PLATFORMS ON CORE,NUMBER OF SCARS FS,NUMBER OF SCARS PS,CORE LONGITUDINAL SECTION,CORE MORPHOLOGY,CORE TECHNOLOGY,CORE FLAKING METHODS,CORE TYPE,TYPE OF FLAKE CF,DOMINANT SCAR,LAST SCAR,ANGLE BETWEEN SP AND DS,FLAKE SP,TECHNOLOGY,PROFILE VENTRAL,PROFILE DORSAL,SECTION,FLAKE MORPHOLOGY,FLAKE TERMINATION,SYMMETRY,Parent Scar,NO DORSAL SCARS,SCAR PATTERN,STRIKING PLATFORM,LIP,RETOUCH,TOOL BLANK,STAGE OF RETOUCH,MODULE OF RETOUCH,TYPOLOGY A,RETOUCH LOCATION A,RETOUCH FACE A,RETOUCH TYPE A,ABRASION,SHAPE OF ACTIVE EDGE A,SECOND EVENT RETOUCH,TYPOLOGY B,RETOUCH LOCATION B,RETOUCH FACE B,RETOUCH TYPE B,SHAPE OF ACTIVE EDGE B,CORE LENGTH,CORE WIDTH,CORE THICKNESS,LENGTH OF DOMINANT SCAR,WIDTH OF DOMINANT SCAR,LENGTH OF LAST SCAR,WIDTH OF LAST SCAR,CORE CIRCUMFERENCE,TECHNOLOGICAL LENGTH,TECHNOLOGICAL WIDTH,MORPHOLOGICAL LENGTH,MORPHOLOGICAL WIDTH,THICKNESS,BREADTH OF STRIKING PLATFORM,DEPTH OF STRIKING PLATFORM,WEIGHT,IMAGE ACQUISITION 2D AND 3D,COMMENTS
K14-1090/1099-c,1.4,1,99.55,99.52,Geghasar,Obsidian,40,Flake,Fragment,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,,,,2,Indeterminate,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,4.14,3.47,0.36,,,,None,
K14-1090/1099-d,1.4,1,99.55,99.52,Geghasar,Obsidian,40,Flake,Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,Feather,,Yes,1,Plain,Punctiform,Not lipped,Yes,Flake,,Module 0,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,,,6.41,4.52,0.58,1.92,0.54,,None,
K14-983/1015-a,4.1,4,98.91,98.85,Geghasar,Obsidian,40,Flake,Dist+lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,,,Yes,2,Along axis,Plain,Lipped,Yes,Flake,,Module 0,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,,,9.38,5.65,0.79,2.43,1.04,,None,
K14-983/1015-b,4.1,4,98.91,98.85,Geghasar,Obsidian,40,Flake,Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,Feather,,,2,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,,,,,,No,,,,,,,,,,,,,,,,9.21,5.27,1.07,,,,None,
K14-983/1015-c,4.1,4,98.91,98.85,Geghasar,Obsidian,40,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,,,,3,Along axis side,Crushed,Not lipped,No,,,,,,,,,,No,,,,,,,,,,,,,,,,6.69,5.65,0.86,,,,None,
K14-983/1015-d,4.1,4,98.91,98.85,Geghasar,Obsidian,40,Flake,Fragment,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,,,,1,Indeterminate,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,9.41,3.89,0.67,,,,None,
K14-983/1015-e,4.1,4,98.91,98.85,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Trapezoidal,Feather,Symmetrical,Yes,0,Plain,Plain,Not lipped,Yes,Flake,,Module 0,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,4.12,5.46,5.45,4.24,0.95,4.61,1.29,,Photo high resolution,
K14-983/1015-small,4.1,4,98.91,98.85,Geghasar,Obsidian,40,Flake,Fragment,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,,,,2,Indeterminate,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,4.48,2.96,0.64,,,,None,
K14-983/1015-small,4.1,4,98.91,98.85,Geghasar,Obsidian,40,Flake,Fragment,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,,,,1,Indeterminate,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,3.8,2.71,0.68,,,,None,
K14-1279/1282-a,3.1,3,99.3,99.27,Geghasar,Obsidian,40,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,,,,4,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 4,,Proximal until ridge,Dorsal,Fine,No,,No,,,,,,,,,,,,,,,,13.69,5.45,4.36,10.05,4.66,,Photo high resolution,Two ventrals
K14-1279/1282-b,3.1,3,99.3,99.27,Geghasar,Obsidian,40,Flake,Dist+lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,Feather,,,6,Along axis side,,,Yes,Flake,Pre detachment,Module 4,,Circumference,Dorsal,Flat,No,,No,,,,,,,,,,,,,,,,7.36,6.33,1.43,,,,None,
